[INFO] [1775501114.748827481] [pi_metrics_publisher]: Pi Metrics | t: 3.907 | CPU: 36.8% | Mem: 11.7% | Temp: 69.1 C
[INFO] [1775501114.798418314] [pi_metrics_publisher]: Pi Metrics | t: 3.957 | CPU: 33.3% | Mem: 11.7% | Temp: 68.2 C
[INFO] [1775501114.848477722] [pi_metrics_publisher]: Pi Metrics | t: 4.007 | CPU: 19.0% | Mem: 11.6% | Temp: 67.7 C
[INFO] [1775501114.898621555] [pi_metrics_publisher]: Pi Metrics | t: 4.057 | CPU: 15.0% | Mem: 11.6% | Temp: 67.7 C
[INFO] [1775501114.948769629] [pi_metrics_publisher]: Pi Metrics | t: 4.107 | CPU: 5.3% | Mem: 11.6% | Temp: 69.1 C
[INFO] [1775501114.998808611] [pi_metrics_publisher]: Pi Metrics | t: 4.157 | CPU: 10.5% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501115.048756036] [pi_metrics_publisher]: Pi Metrics | t: 4.207 | CPU: 10.5% | Mem: 11.6% | Temp: 67.7 C
[INFO] [1775501115.098738722] [pi_metrics_publisher]: Pi Metrics | t: 4.257 | CPU: 10.0% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501115.148699666] [pi_metrics_publisher]: Pi Metrics | t: 4.307 | CPU: 10.5% | Mem: 11.6% | Temp: 67.7 C
[INFO] [1775501115.199993240] [pi_metrics_publisher]: Pi Metrics | t: 4.358 | CPU: 35.0% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501115.248607092] [pi_metrics_publisher]: Pi Metrics | t: 4.407 | CPU: 22.2% | Mem: 11.6% | Temp: 67.7 C
[INFO] [1775501115.298629870] [pi_metrics_publisher]: Pi Metrics | t: 4.457 | CPU: 36.8% | Mem: 11.7% | Temp: 67.2 C
[INFO] [1775501115.348685518] [pi_metrics_publisher]: Pi Metrics | t: 4.507 | CPU: 5.9% | Mem: 11.7% | Temp: 67.2 C
[INFO] [1775501115.398696314] [pi_metrics_publisher]: Pi Metrics | t: 4.557 | CPU: 19.0% | Mem: 11.7% | Temp: 68.2 C
[INFO] [1775501115.448740481] [pi_metrics_publisher]: Pi Metrics | t: 4.607 | CPU: 11.1% | Mem: 11.7% | Temp: 67.7 C
[INFO] [1775501115.498466240] [pi_metrics_publisher]: Pi Metrics | t: 4.657 | CPU: 28.6% | Mem: 11.7% | Temp: 67.7 C
[INFO] [1775501115.548724425] [pi_metrics_publisher]: Pi Metrics | t: 4.707 | CPU: 19.0% | Mem: 11.7% | Temp: 67.7 C
[INFO] [1775501115.598576462] [pi_metrics_publisher]: Pi Metrics | t: 4.757 | CPU: 20.0% | Mem: 11.7% | Temp: 67.7 C
[INFO] [1775501115.648879166] [pi_metrics_publisher]: Pi Metrics | t: 4.807 | CPU: 5.9% | Mem: 11.7% | Temp: 67.7 C
[INFO] [1775501115.698869869] [pi_metrics_publisher]: Pi Metrics | t: 4.857 | CPU: 11.1% | Mem: 11.7% | Temp: 67.7 C
[INFO] [1775501115.748501703] [pi_metrics_publisher]: Pi Metrics | t: 4.907 | CPU: 35.0% | Mem: 11.7% | Temp: 68.2 C
[INFO] [1775501115.798701129] [pi_metrics_publisher]: Pi Metrics | t: 4.957 | CPU: 42.9% | Mem: 11.7% | Temp: 68.2 C
[INFO] [1775501115.848450703] [pi_metrics_publisher]: Pi Metrics | t: 5.007 | CPU: 57.1% | Mem: 11.7% | Temp: 67.7 C
[INFO] [1775501115.898739073] [pi_metrics_publisher]: Pi Metrics | t: 5.057 | CPU: 21.1% | Mem: 11.7% | Temp: 67.7 C
[INFO] [1775501115.948632314] [pi_metrics_publisher]: Pi Metrics | t: 5.107 | CPU: 16.7% | Mem: 11.7% | Temp: 67.2 C
[INFO] [1775501115.998439147] [pi_metrics_publisher]: Pi Metrics | t: 5.157 | CPU: 26.3% | Mem: 11.7% | Temp: 67.7 C
[INFO] [1775501116.048632888] [pi_metrics_publisher]: Pi Metrics | t: 5.207 | CPU: 21.1% | Mem: 11.7% | Temp: 67.2 C
[INFO] [1775501116.098778517] [pi_metrics_publisher]: Pi Metrics | t: 5.257 | CPU: 25.0% | Mem: 11.7% | Temp: 67.7 C
[INFO] [1775501116.148638888] [pi_metrics_publisher]: Pi Metrics | t: 5.307 | CPU: 50.0% | Mem: 11.8% | Temp: 67.2 C
[INFO] [1775501116.198773017] [pi_metrics_publisher]: Pi Metrics | t: 5.357 | CPU: 23.8% | Mem: 11.8% | Temp: 68.2 C
[INFO] [1775501116.248628480] [pi_metrics_publisher]: Pi Metrics | t: 5.407 | CPU: 11.8% | Mem: 11.8% | Temp: 67.2 C
[INFO] [1775501116.298694776] [pi_metrics_publisher]: Pi Metrics | t: 5.457 | CPU: 28.6% | Mem: 11.8% | Temp: 67.7 C
[INFO] [1775501116.348806017] [pi_metrics_publisher]: Pi Metrics | t: 5.507 | CPU: 47.4% | Mem: 11.8% | Temp: 67.7 C
[INFO] [1775501116.398619499] [pi_metrics_publisher]: Pi Metrics | t: 5.557 | CPU: 38.1% | Mem: 11.8% | Temp: 67.7 C
[INFO] [1775501116.448587406] [pi_metrics_publisher]: Pi Metrics | t: 5.607 | CPU: 22.2% | Mem: 11.8% | Temp: 67.2 C
[INFO] [1775501116.498781128] [pi_metrics_publisher]: Pi Metrics | t: 5.657 | CPU: 25.0% | Mem: 11.9% | Temp: 67.2 C
[INFO] [1775501116.548628554] [pi_metrics_publisher]: Pi Metrics | t: 5.707 | CPU: 36.8% | Mem: 11.9% | Temp: 67.7 C
[INFO] [1775501116.598404258] [pi_metrics_publisher]: Pi Metrics | t: 5.757 | CPU: 31.6% | Mem: 12.0% | Temp: 66.7 C
[INFO] [1775501116.648413535] [pi_metrics_publisher]: Pi Metrics | t: 5.807 | CPU: 31.6% | Mem: 12.0% | Temp: 67.7 C
[INFO] [1775501116.698749684] [pi_metrics_publisher]: Pi Metrics | t: 5.857 | CPU: 15.8% | Mem: 12.0% | Temp: 68.7 C
[INFO] [1775501116.748756035] [pi_metrics_publisher]: Pi Metrics | t: 5.907 | CPU: 15.0% | Mem: 12.0% | Temp: 67.7 C
[INFO] [1775501116.799409387] [pi_metrics_publisher]: Pi Metrics | t: 5.957 | CPU: 25.0% | Mem: 12.0% | Temp: 67.7 C
[INFO] [1775501116.848605350] [pi_metrics_publisher]: Pi Metrics | t: 6.007 | CPU: 31.6% | Mem: 12.0% | Temp: 67.7 C
[INFO] [1775501116.898438369] [pi_metrics_publisher]: Pi Metrics | t: 6.057 | CPU: 27.3% | Mem: 12.0% | Temp: 66.7 C
[INFO] [1775501116.948577832] [pi_metrics_publisher]: Pi Metrics | t: 6.107 | CPU: 21.1% | Mem: 12.0% | Temp: 66.7 C
[INFO] [1775501116.998568146] [pi_metrics_publisher]: Pi Metrics | t: 6.157 | CPU: 23.8% | Mem: 12.0% | Temp: 67.7 C
[INFO] [1775501117.048448850] [pi_metrics_publisher]: Pi Metrics | t: 6.207 | CPU: 23.5% | Mem: 12.0% | Temp: 67.2 C
[INFO] [1775501117.098591906] [pi_metrics_publisher]: Pi Metrics | t: 6.257 | CPU: 16.7% | Mem: 12.0% | Temp: 67.2 C
[INFO] [1775501117.148496294] [pi_metrics_publisher]: Pi Metrics | t: 6.307 | CPU: 44.4% | Mem: 12.0% | Temp: 67.2 C
[INFO] [1775501117.198809554] [pi_metrics_publisher]: Pi Metrics | t: 6.357 | CPU: 38.1% | Mem: 12.1% | Temp: 67.2 C
[INFO] [1775501117.248627443] [pi_metrics_publisher]: Pi Metrics | t: 6.407 | CPU: 70.6% | Mem: 12.1% | Temp: 67.2 C
[INFO] [1775501117.298568850] [pi_metrics_publisher]: Pi Metrics | t: 6.457 | CPU: 65.0% | Mem: 12.1% | Temp: 67.2 C
[INFO] [1775501117.349916128] [pi_metrics_publisher]: Pi Metrics | t: 6.508 | CPU: 84.2% | Mem: 12.2% | Temp: 67.2 C
[INFO] [1775501117.398922609] [pi_metrics_publisher]: Pi Metrics | t: 6.557 | CPU: 57.9% | Mem: 12.2% | Temp: 67.7 C
[INFO] [1775501117.448494776] [pi_metrics_publisher]: Pi Metrics | t: 6.607 | CPU: 84.2% | Mem: 12.3% | Temp: 68.7 C
[INFO] [1775501117.499040294] [pi_metrics_publisher]: Pi Metrics | t: 6.657 | CPU: 95.2% | Mem: 12.3% | Temp: 69.1 C
[INFO] [1775501117.548444202] [pi_metrics_publisher]: Pi Metrics | t: 6.707 | CPU: 94.4% | Mem: 12.3% | Temp: 69.1 C
[INFO] [1775501117.598452720] [pi_metrics_publisher]: Pi Metrics | t: 6.757 | CPU: 75.0% | Mem: 12.4% | Temp: 68.7 C
[INFO] [1775501117.648474961] [pi_metrics_publisher]: Pi Metrics | t: 6.807 | CPU: 63.2% | Mem: 12.4% | Temp: 68.7 C
[INFO] [1775501117.698423164] [pi_metrics_publisher]: Pi Metrics | t: 6.857 | CPU: 50.0% | Mem: 12.3% | Temp: 68.7 C
[INFO] [1775501117.748652072] [pi_metrics_publisher]: Pi Metrics | t: 6.907 | CPU: 20.0% | Mem: 12.3% | Temp: 68.7 C
[INFO] [1775501117.798471535] [pi_metrics_publisher]: Pi Metrics | t: 6.957 | CPU: 46.7% | Mem: 12.3% | Temp: 68.2 C
[INFO] [1775501117.853384016] [pi_metrics_publisher]: Pi Metrics | t: 7.009 | CPU: 45.5% | Mem: 12.3% | Temp: 67.7 C
[INFO] [1775501117.899147998] [pi_metrics_publisher]: Pi Metrics | t: 7.057 | CPU: 55.6% | Mem: 12.4% | Temp: 68.2 C
[INFO] [1775501117.948874738] [pi_metrics_publisher]: Pi Metrics | t: 7.107 | CPU: 52.4% | Mem: 12.4% | Temp: 68.7 C
[INFO] [1775501117.998438442] [pi_metrics_publisher]: Pi Metrics | t: 7.157 | CPU: 73.7% | Mem: 12.4% | Temp: 67.7 C
[INFO] [1775501118.048465183] [pi_metrics_publisher]: Pi Metrics | t: 7.207 | CPU: 64.7% | Mem: 12.2% | Temp: 68.7 C
[INFO] [1775501118.101811794] [pi_metrics_publisher]: Pi Metrics | t: 7.260 | CPU: 50.0% | Mem: 12.3% | Temp: 67.7 C
[INFO] [1775501118.149599609] [pi_metrics_publisher]: Pi Metrics | t: 7.308 | CPU: 63.2% | Mem: 12.4% | Temp: 68.7 C
[INFO] [1775501118.198494201] [pi_metrics_publisher]: Pi Metrics | t: 7.357 | CPU: 52.6% | Mem: 12.4% | Temp: 68.2 C
[INFO] [1775501118.248543294] [pi_metrics_publisher]: Pi Metrics | t: 7.407 | CPU: 50.0% | Mem: 12.2% | Temp: 68.7 C
[INFO] [1775501118.298453701] [pi_metrics_publisher]: Pi Metrics | t: 7.457 | CPU: 63.6% | Mem: 12.2% | Temp: 69.1 C
[INFO] [1775501118.348546349] [pi_metrics_publisher]: Pi Metrics | t: 7.507 | CPU: 55.6% | Mem: 12.3% | Temp: 68.2 C
