Time: 1145.3 | CPU: 21.0526 | Mem: 50.1183 | Temp: 61.835
Time: 1145.35 | CPU: 10.5263 | Mem: 50.1183 | Temp: 62.809
Time: 1145.4 | CPU: 30 | Mem: 50.1183 | Temp: 62.809
Time: 1145.45 | CPU: 15 | Mem: 50.1183 | Temp: 62.809
Time: 1145.5 | CPU: 30 | Mem: 50.1181 | Temp: 62.809
Time: 1145.55 | CPU: 15.7895 | Mem: 50.1181 | Temp: 61.835
Time: 1145.6 | CPU: 43.75 | Mem: 50.1181 | Temp: 62.809
Time: 1145.65 | CPU: 30 | Mem: 50.1161 | Temp: 61.835
Time: 1145.7 | CPU: 21.0526 | Mem: 50.1191 | Temp: 63.783
Time: 1145.75 | CPU: 20 | Mem: 50.1191 | Temp: 61.835
Time: 1145.8 | CPU: 21.0526 | Mem: 50.1191 | Temp: 62.322
Time: 1145.85 | CPU: 10.5263 | Mem: 50.1191 | Temp: 62.322
Time: 1145.9 | CPU: 21.0526 | Mem: 50.1191 | Temp: 62.809
Time: 1145.95 | CPU: 10 | Mem: 50.1191 | Temp: 62.809
Time: 1146 | CPU: 21.0526 | Mem: 50.1191 | Temp: 62.322
Time: 1146.05 | CPU: 10.5263 | Mem: 50.1191 | Temp: 63.783
Time: 1146.1 | CPU: 21.0526 | Mem: 50.1191 | Temp: 62.809
Time: 1146.15 | CPU: 15 | Mem: 50.1191 | Temp: 62.322
Time: 1146.2 | CPU: 30 | Mem: 50.1191 | Temp: 62.322
Time: 1146.25 | CPU: 10.5263 | Mem: 50.1191 | Temp: 62.809
Time: 1146.3 | CPU: 20 | Mem: 50.1191 | Temp: 61.835
Time: 1146.35 | CPU: 5.55556 | Mem: 50.1172 | Temp: 61.835
Time: 1146.4 | CPU: 30 | Mem: 50.1172 | Temp: 62.322
Time: 1146.45 | CPU: 15 | Mem: 50.1172 | Temp: 62.322
Time: 1146.5 | CPU: 33.3333 | Mem: 50.1154 | Temp: 62.322
Time: 1146.55 | CPU: 5.88235 | Mem: 50.114 | Temp: 62.809
Time: 1146.6 | CPU: 55 | Mem: 50.114 | Temp: 62.322
Time: 1146.65 | CPU: 52.6316 | Mem: 50.114 | Temp: 62.322
Time: 1146.7 | CPU: 95.4545 | Mem: 50.1236 | Temp: 63.783
Time: 1146.75 | CPU: 75 | Mem: 50.1298 | Temp: 64.27
Time: 1146.8 | CPU: 50 | Mem: 50.1296 | Temp: 63.296
Time: 1146.85 | CPU: 45 | Mem: 50.1328 | Temp: 63.783
Time: 1146.9 | CPU: 27.7778 | Mem: 49.9348 | Temp: 62.809
Time: 1146.95 | CPU: 15 | Mem: 49.9348 | Temp: 62.322
Time: 1147 | CPU: 25 | Mem: 49.9348 | Temp: 62.809
Time: 1147.05 | CPU: 10.5263 | Mem: 49.9348 | Temp: 62.322
Time: 1147.1 | CPU: 21.0526 | Mem: 49.9348 | Temp: 62.809
Time: 1147.15 | CPU: 20 | Mem: 49.9348 | Temp: 62.809
Time: 1147.2 | CPU: 38.8889 | Mem: 49.9399 | Temp: 62.322
Time: 1147.25 | CPU: 38.8889 | Mem: 49.9621 | Temp: 63.296
Time: 1147.3 | CPU: 22.2222 | Mem: 49.9776 | Temp: 62.809
Time: 1147.35 | CPU: 19.0476 | Mem: 49.9776 | Temp: 63.296
Time: 1147.4 | CPU: 25 | Mem: 49.9776 | Temp: 62.322
Time: 1147.45 | CPU: 22.2222 | Mem: 49.9003 | Temp: 63.296
Time: 1147.5 | CPU: 50 | Mem: 49.9253 | Temp: 62.809
Time: 1147.55 | CPU: 55.5556 | Mem: 49.9379 | Temp: 62.322
Time: 1147.6 | CPU: 85.7143 | Mem: 50.0202 | Temp: 63.296
Time: 1147.65 | CPU: 66.6667 | Mem: 50.02 | Temp: 63.296
Time: 1147.7 | CPU: 52.6316 | Mem: 50.02 | Temp: 63.783
