time,cpu,mem,temp
19.560,71.4,16.7,74.0
19.606,50.0,16.7,74.5
19.659,95.0,16.7,74.0
19.717,100.0,16.7,74.0
19.758,93.3,16.7,74.0
19.807,90.0,16.7,74.5
19.856,89.5,16.8,74.5
19.906,55.6,16.8,74.5
19.956,47.4,16.9,74.5
20.006,73.7,16.9,73.5
20.060,71.4,16.9,74.0
20.107,64.7,16.9,74.0
20.156,89.5,16.9,73.5
20.206,90.0,16.9,75.0
20.257,90.5,16.9,74.5
20.306,78.9,16.9,74.0
20.358,73.9,16.9,74.5
20.406,76.5,16.9,74.5
20.456,66.7,16.9,73.0
20.506,73.7,16.9,74.0
20.556,76.2,16.9,74.5
20.606,77.8,17.0,74.5
20.657,75.0,17.0,75.0
20.707,77.8,17.0,73.5
20.758,94.7,17.0,74.0
20.812,100.0,17.1,75.5
20.875,96.0,17.1,75.0
20.908,100.0,17.1,74.5
20.958,100.0,17.1,75.5
21.008,95.2,17.1,74.5
21.057,95.0,17.1,75.0
21.108,100.0,17.1,75.5
21.156,100.0,17.1,74.5
21.208,100.0,17.1,75.0
21.257,100.0,17.2,74.5
21.314,100.0,17.2,75.5
21.358,94.7,17.2,74.5
21.407,78.9,17.1,74.5
21.456,55.0,17.1,75.0
21.507,65.0,17.2,75.5
21.556,73.7,17.2,74.5
21.608,85.7,17.3,75.0
21.659,100.0,17.3,75.0
21.706,73.7,17.3,75.0
21.758,82.4,17.3,75.0
21.806,78.9,17.3,75.5
21.856,95.0,17.4,75.0
21.908,95.2,17.4,76.0
21.956,76.5,17.4,75.0
22.024,81.5,17.5,76.0
22.060,93.8,17.6,75.5
22.112,95.0,17.6,76.0
22.159,100.0,17.6,75.5
22.215,100.0,17.6,76.0
22.289,100.0,17.6,76.9
22.326,100.0,17.7,76.0
22.364,100.0,17.7,76.0
22.480,95.7,17.8,75.5
22.506,90.9,17.8,75.5
22.556,88.9,17.6,76.4
22.606,73.7,17.6,76.9
22.656,81.8,17.5,75.5
22.706,73.7,17.5,76.4
22.759,80.0,17.5,76.0
22.806,70.0,17.6,76.0
22.856,85.7,17.6,75.0
22.906,82.4,17.6,75.5
22.956,68.4,17.6,75.5
23.006,61.1,17.6,75.5
